Ticker,Nombre,Moneda,System Asset Class,Portafolio,Asset Class,Geography / Subclass,Market
AACCHIA CI EQUITY,ARRAYAN ACCIONES CHILENAS FONDO DE INVERSION,CLP - Chile Peso,RENTA VARIABLE,Nacional,Equities,Chile,Fund
ABC CI EQUITY,ABC S.A.,CLP - Chile Peso,RENTA VARIABLE,Nacional,Equities,Chile,Stock
BADRT-G,AD RETAIL 2% 2042,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BAGRS-D,"AGROSUPER 3,8% 2032",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BAGRS-L,"AGROSUPER 2,5% 2028",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBCIS-P36A,BCI SECURITIZADORA S.A. 8.5% 2029,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBEFS-11C1,EF SECURITIZADORA S.A. 10% 2033,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBEFS-P11D,EF SECURITIZADORA S.A SERIE D 10% 2033,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBNSAN0918,SCOTIABANK CHILE 2.1% 2026,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBTG-G1220,BANCO BTG PACTUAL 1% 2027,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBTG-L0223,BANCO BTG PACTUAL 1% 2030,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BBTG-X0724,BANCO BTG PACTUAL 2% 2028,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCAJCO0625,"LOS ANDES 5,9% 2028",CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCALI-A,"CALICHERA S.A 4,5% 2030",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCHDECH CI EQUITY,BANCHILE FI DEUDA CHILENA,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Fund
BCHIAX0613,"BANCO DE CHILE 3,6% 2025",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCHIFH1221,"BANCO DE CHILE 2,6% 2030",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCHIUZ1011,"BBCHILE 3,5% 2025",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BCI CI EQUITY,BCI,CLP - Chile Peso,RENTA VARIABLE,Nacional,Equities,Chile,Stock
BCSMU-B,"SMU 3,8% 2032",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BDWDISP CI EQUITY,BANCHILE DISPONIBLE - L,CLP - Chile Peso,CAJA Y M.M.,Nacional,Liquidity,Chile,Chile
BECOP-AG,"COPEC 3,2% 2034",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BELME-F,COMPANIA ELECTRO METALURGICA S.A. 3% 2032,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BENTE-R,"ENTEL 3,5% 2030",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BESTT50617,BANCO DEL ESTADO DE CHILE 3% 2027,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BFAL-G1217,"BBFALABELL 2,8% 2027",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BICINDX CI EQUITY,BICE LIQUIDEZ PESOS CLASICA,CLP - Chile Peso,CAJA Y M.M.,Nacional,Liquidity,Chile,Chile
BLATM-F,LATAM AIRLINES 2% 2042,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BQUIN-C,QUINENCO 4% 2032,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BRPLAC0524,BANCO RIPLEY 3.1% 2030,CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BRPLAE1122,"BANCO RIPLEY 3,1% 2026",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BSALF-B,"SALFACORP 4,5% 2029",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BSALF-V,"SALFACORP 4,5% 2032",CLF - Chile UF,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BSTDU61020,"SANTANDER 2,95% 2026",CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Bond
BTGCYFA CI EQUITY,BTG PACTUAL CREDITO Y FACTURAS FONDO DE INVERSION,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Fund
BTGFGIA CI EQUITY,BTG FINANCIAMIENTO CON GARANTIA INMOBILIARIA FI,CLP - Chile Peso,RENTA FIJA,Nacional,Fixed Income,Chile,Fund
CAJA CLP,CAJA CLP,CLP - Chile Peso,CAJA Y M.M.,Nacional,Liquidity,Chile,Chile
CAP CI EQUITY,CAP S.A.,CLP - Chile Peso,RENTA VARIABLE,Nacional,Equities,Chile,Stock
CASA MARBELLA,CASA MARBELLA,CLF - Chile UF,ACTIVO INMOBILIARIO,Nacional,Alternative,Chile,Chile
